"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-01",,,"0","7","0","2,7","9",",7","2",",7","31",",7","4",",7","16","2,7","29","2,7","23","2,7","0","2,7","0","2,7","-20","2,7,07,","10",",,7,02,+","3.0",",,7,26,","0.35",",,7,26,","42","2,7,14,","4700","7","1612","2,7","1.02",",,,7","10.6",",,,7","9.4","2,7","19.5","2,,,7","-0.7","2,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-02",,,"0","7","0",",7","9",",7","4",",7","28",",7","4",",7","14",",7","28",",7","25",",7","0",",7","0",",7","-14",",7,12,+","11",",,7,18,","4.5",",,7,18,","0.48",",,7,21,","45",",7,20,","6216","7","1516",",7","1.28",",,,7","9.8",",,,7","10.9",",7","21.1",",,,7","0.6",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-03",,,"0","7","0",",7","8",",7","6",",7","16","2,7","3","1,7","7",",7","29",",7","11",",7","0",",7","0",",7","-12",",7,03,","13","2,,7,05,","4.5","1,,7,05,","0.39",",,7,28,","57",",7,31,","7459","7","1243",",7","1.37",",,,7","7.5","1,,,7","24.9",",7","36.0",",,,7","13.8",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-04",,,"0","7","0",",7","10",",7","9",",7","2",",7","2",",7","0",",7","15",",7","0",",7","1",",7","0",",7","15",",7,15,","1",",,7,15,+","1.0",",,7,15,+","2.25",",,7,14,","78",",7,21,","8085","7","625",",7","5.51",",,,7","2.0",",,,7","44.2",",7","56.3",",,,7","32.0",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-05",,,"46","7","46",",7","12",",7","5",",7",,,,,"0",",7","0",",7","0",",7","16",",7","0",",7","36",",7,16,",,,,,"1.15",",,7,13,","85",",7,22,+","8341","7","257",",7","2.97",",,,7",,,"58.2",",7","69.2",",,,7","47.2",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-06",,,"195","7","148",",7","14",",7","9",",7",,,,,"0",",7","0",",7","0",",7","28",",7","0",",7","47",",7,10,+",,,,,"2.00",",,7,20,","88",",7,02,","8368","7","26",",7","9.14",",,,7",,,"69.1",",7","78.7",",,,7","59.4",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-07",,,"288","7","94","1,7","9",",7","6",",7",,,,,"0","1,7","0","1,7","0","1,7","29","1,7","1","1,7","46","1,7,17,",,,,,"1.25",",,7,01,","90","1,7,23,","21","7","21","1,7","2.37",",,,7",,,"67.4","1,7","77.8","1,,,7","57.1","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-08",,,"429","7","140","1,7","13",",7","8",",7",,,,,"0","1,7","0","1,7","0","1,7","30","1,7","0","1,7","45","1,7,15,",,,,,"1.38",",,7,26,","88","1,7,23,","27","7","6","1,7","4.06",",,,7",,,"69.5","1,7","80.2","1,,,7","58.7","1,,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-09",,,"461","7","32",",7","10",",7","8",",7",,,,,"0",",7","0",",7","0",",7","22",",7","0",",7","36",",7,16,",,,,,"1.98",",,7,04,","84",",7,01,","204","7","176",",7","3.50",",,,7",,,"60.2",",7","72.2",",,,7","48.2",",,,7",,,,,,,,
"USC00470273","UW ARBORETUM MADISON, WI US","43.04118","-89.42872","265.2","2014-10",,,"461","7","0",",7","8",",7","4",",7","0","1,7","0",",7","0",",7","6",",7","0",",7","2",",7","0",",7","27",",7,23,+","0","1,T,7,31,","0.0",",T,7,31,","1.33",",,7,14,","75",",7,28,","678","7","474",",7","2.75",",,,7","0.0",",T,,7","49.7",",7","60.2",",,,7","39.2",",,,7",,,,,,,,
